bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 3,44584cb6-785e-41af-b3c8-bf219039fa79,0.05,"(25, 33)","(22, 13)","(6, 17)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/44584cb6-785e-41af-b3c8-bf219039fa79.png,9307
Bot 4,084b35d4-6624-4dd3-aa9c-dbf044679538,0.05,"(25, 33)","(22, 13)","(6, 17)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/084b35d4-6624-4dd3-aa9c-dbf044679538.png,9307
Bot 1,a5704a04-a723-45f9-912b-47f36badc196,0.05,"(34, 38)","(14, 6)","(11, 3)",51,Bot caught fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a5704a04-a723-45f9-912b-47f36badc196.png,4276
Bot 2,a7401572-dd83-49fb-bf0c-ef7cc7d2611f,0.05,"(34, 38)","(14, 6)","(11, 3)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a7401572-dd83-49fb-bf0c-ef7cc7d2611f.png,4276
Bot 3,00fcaf50-5ceb-41a1-bfb1-6d31d40616c2,0.05,"(34, 38)","(14, 6)","(11, 3)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/00fcaf50-5ceb-41a1-bfb1-6d31d40616c2.png,4276
Bot 4,08ff64a7-b55a-4793-bcca-f526ea55be75,0.05,"(34, 38)","(14, 6)","(11, 3)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/08ff64a7-b55a-4793-bcca-f526ea55be75.png,4276
Bot 1,37d7f44a-24c1-4400-b9c1-19d9e5985274,0.05,"(19, 10)","(37, 10)","(25, 2)",24,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/37d7f44a-24c1-4400-b9c1-19d9e5985274.png,4318
Bot 2,2cee0f42-fb21-4c79-b044-0d2e3ffab242,0.05,"(19, 10)","(37, 10)","(25, 2)",24,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2cee0f42-fb21-4c79-b044-0d2e3ffab242.png,4318
Bot 3,17d5f3bf-3139-4887-a751-22cd805082a2,0.05,"(19, 10)","(37, 10)","(25, 2)",24,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/17d5f3bf-3139-4887-a751-22cd805082a2.png,4318
Bot 4,174d20c7-54f7-4931-ac39-f28011d94069,0.05,"(19, 10)","(37, 10)","(25, 2)",24,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/174d20c7-54f7-4931-ac39-f28011d94069.png,4318
Bot 1,f5bbee41-676a-49cd-a0d4-0467ed6f5c72,0.05,"(19, 4)","(21, 2)","(1, 21)",4,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f5bbee41-676a-49cd-a0d4-0467ed6f5c72.png,7885
Bot 2,673e7fbf-55af-4d93-93a1-408bd134b1d5,0.05,"(19, 4)","(21, 2)","(1, 21)",4,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/673e7fbf-55af-4d93-93a1-408bd134b1d5.png,7885
Bot 3,256feb53-0825-4817-b216-bc83de584d56,0.05,"(19, 4)","(21, 2)","(1, 21)",4,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/256feb53-0825-4817-b216-bc83de584d56.png,7885
Bot 4,e4689ce8-0436-480b-9c5e-609d29fa2508,0.05,"(19, 4)","(21, 2)","(1, 21)",4,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e4689ce8-0436-480b-9c5e-609d29fa2508.png,7885
Bot 1,ded78310-7533-4a6f-b47e-4d081366747c,0.05,"(22, 29)","(14, 1)","(24, 16)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ded78310-7533-4a6f-b47e-4d081366747c.png,2643
Bot 2,d7dc0899-95dc-443f-ba3b-ea26b2a6384d,0.05,"(22, 29)","(14, 1)","(24, 16)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d7dc0899-95dc-443f-ba3b-ea26b2a6384d.png,2643
Bot 3,9eddac80-2af1-4875-b1a4-c58274d99cc6,0.05,"(22, 29)","(14, 1)","(24, 16)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/9eddac80-2af1-4875-b1a4-c58274d99cc6.png,2643
Bot 4,dcaea6e8-b706-43a7-8fee-bf7a19e391f0,0.05,"(22, 29)","(14, 1)","(24, 16)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/dcaea6e8-b706-43a7-8fee-bf7a19e391f0.png,2643
Bot 1,301e050d-1619-45b8-8a4a-36f8ed1ab8db,0.05,"(16, 11)","(31, 33)","(5, 23)",45,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/301e050d-1619-45b8-8a4a-36f8ed1ab8db.png,2199
Bot 2,199938de-2d48-4da0-9bfd-c9c14157efa2,0.05,"(16, 11)","(31, 33)","(5, 23)",45,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/199938de-2d48-4da0-9bfd-c9c14157efa2.png,2199
Bot 3,423cb536-168f-4eae-a03d-1307c9b7935c,0.05,"(16, 11)","(31, 33)","(5, 23)",45,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/423cb536-168f-4eae-a03d-1307c9b7935c.png,2199
Bot 4,83f6ceda-e37e-48b1-bc91-6804c64556dc,0.05,"(16, 11)","(31, 33)","(5, 23)",45,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/83f6ceda-e37e-48b1-bc91-6804c64556dc.png,2199
Bot 1,93a79a99-dd29-41b7-b603-7c3692b18a8d,0.05,"(27, 14)","(33, 36)","(33, 17)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/93a79a99-dd29-41b7-b603-7c3692b18a8d.png,733
Bot 2,faa4c3bf-b43c-451c-be7f-fffc11fe9261,0.05,"(27, 14)","(33, 36)","(33, 17)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/faa4c3bf-b43c-451c-be7f-fffc11fe9261.png,733
Bot 3,79a016e0-439f-47b6-a064-453564dd967a,0.05,"(27, 14)","(33, 36)","(33, 17)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/79a016e0-439f-47b6-a064-453564dd967a.png,733
Bot 4,d64cf512-2f07-4ac6-8dd0-41205be44f89,0.05,"(27, 14)","(33, 36)","(33, 17)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d64cf512-2f07-4ac6-8dd0-41205be44f89.png,733
Bot 1,5c9f70dd-9a61-4c19-b656-d979172f7a02,0.05,"(16, 23)","(22, 14)","(15, 25)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/5c9f70dd-9a61-4c19-b656-d979172f7a02.png,3435
Bot 2,faf480bf-0fc6-4b72-8584-05d7da2d6dcf,0.05,"(16, 23)","(22, 14)","(15, 25)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/faf480bf-0fc6-4b72-8584-05d7da2d6dcf.png,3435
Bot 3,1774ef09-2a22-4c84-a7f3-d38dedfa8de9,0.05,"(16, 23)","(22, 14)","(15, 25)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/1774ef09-2a22-4c84-a7f3-d38dedfa8de9.png,3435
Bot 4,41c17a1e-890f-4e52-8126-499accbcd4e4,0.05,"(16, 23)","(22, 14)","(15, 25)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/41c17a1e-890f-4e52-8126-499accbcd4e4.png,3435
Bot 1,c496e5d5-2f1a-442f-8d1a-f3e37d08da44,0.1,"(7, 32)","(5, 16)","(7, 32)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c496e5d5-2f1a-442f-8d1a-f3e37d08da44.png,1857
Bot 3,49bfb157-7dd8-4088-ad72-2332010bdead,0.1,"(7, 32)","(5, 16)","(7, 32)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/49bfb157-7dd8-4088-ad72-2332010bdead.png,1857
Bot 4,6549bdd3-3ca6-424f-bd6b-28010dbb6609,0.1,"(7, 32)","(5, 16)","(7, 32)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6549bdd3-3ca6-424f-bd6b-28010dbb6609.png,1857
Bot 1,d9e0ab44-4627-45da-9904-926bbca74d6b,0.1,"(22, 6)","(24, 10)","(35, 26)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d9e0ab44-4627-45da-9904-926bbca74d6b.png,340
Bot 2,9adc87c1-e84a-4344-9558-1520780a0842,0.1,"(22, 6)","(24, 10)","(35, 26)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/9adc87c1-e84a-4344-9558-1520780a0842.png,340
