Bot Type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 3,7bf98a77-f390-4c0b-b23d-3a5b8a106c8b,0.0,"(35, 37)","(29, 17)","(10, 36)",30,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/7bf98a77-f390-4c0b-b23d-3a5b8a106c8b.png,90936
Bot 4,6ced5934-eb62-4220-9fc9-b3ca380eae75,0.0,"(35, 37)","(29, 17)","(10, 36)",30,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/6ced5934-eb62-4220-9fc9-b3ca380eae75.png,90936
Bot 1,1e6c6562-a94a-434e-bb9a-295266c78244,0.0,"(28, 35)","(27, 10)","(3, 37)",42,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/1e6c6562-a94a-434e-bb9a-295266c78244.png,68348
Bot 2,a0e6dcce-4592-4e83-a3bc-b63675feb26b,0.0,"(28, 35)","(27, 10)","(3, 37)",42,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/a0e6dcce-4592-4e83-a3bc-b63675feb26b.png,68348
Bot 3,29e163be-4d67-4783-bc85-6ef9931eeda1,0.0,"(28, 35)","(27, 10)","(3, 37)",42,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/29e163be-4d67-4783-bc85-6ef9931eeda1.png,68348
Bot 4,d690c6fc-ffff-4cbb-b277-29cc8794128c,0.0,"(28, 35)","(27, 10)","(3, 37)",42,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/d690c6fc-ffff-4cbb-b277-29cc8794128c.png,68348
Bot 1,4fc5aec5-4093-452c-aca0-6d1406f1f683,0.0,"(18, 20)","(28, 3)","(19, 6)",27,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/4fc5aec5-4093-452c-aca0-6d1406f1f683.png,81897
Bot 2,62fa4bee-678c-43df-9079-d567d81b7f07,0.0,"(18, 20)","(28, 3)","(19, 6)",27,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/62fa4bee-678c-43df-9079-d567d81b7f07.png,81897
Bot 3,acc213e6-2969-4b8c-84cc-9ec844fa4ddb,0.0,"(18, 20)","(28, 3)","(19, 6)",27,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/acc213e6-2969-4b8c-84cc-9ec844fa4ddb.png,81897
Bot 4,508eb4bc-c24f-48b9-92d3-e7d9a4314879,0.0,"(18, 20)","(28, 3)","(19, 6)",27,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/508eb4bc-c24f-48b9-92d3-e7d9a4314879.png,81897
Bot 1,246e5e75-3168-4957-b7b9-11334ea403f6,0.0,"(20, 7)","(11, 8)","(36, 10)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/246e5e75-3168-4957-b7b9-11334ea403f6.png,61046
Bot 2,454e33e2-b57d-4954-ad29-f9baa2094764,0.0,"(20, 7)","(11, 8)","(36, 10)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/454e33e2-b57d-4954-ad29-f9baa2094764.png,61046
Bot 3,00156dbb-3a05-42fc-a6ed-fb7f452b2543,0.0,"(20, 7)","(11, 8)","(36, 10)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/00156dbb-3a05-42fc-a6ed-fb7f452b2543.png,61046
Bot 4,a867c28f-b42f-48dc-b5b3-b8576566a8d3,0.0,"(20, 7)","(11, 8)","(36, 10)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/a867c28f-b42f-48dc-b5b3-b8576566a8d3.png,61046
Bot 1,a2c55f5c-337e-46f8-b9c3-cf3c3adf82cf,0.0,"(15, 12)","(11, 10)","(28, 20)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/a2c55f5c-337e-46f8-b9c3-cf3c3adf82cf.png,856
Bot 2,9f51e221-b83d-4a25-bc8f-5d5a36ae4537,0.0,"(15, 12)","(11, 10)","(28, 20)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/9f51e221-b83d-4a25-bc8f-5d5a36ae4537.png,856
Bot 3,52b6f19a-f249-4bb5-b0d7-7a5ab3a67516,0.0,"(15, 12)","(11, 10)","(28, 20)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/52b6f19a-f249-4bb5-b0d7-7a5ab3a67516.png,856
Bot 4,6f907109-4a72-4aa7-8487-5bdb518412a7,0.0,"(15, 12)","(11, 10)","(28, 20)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/6f907109-4a72-4aa7-8487-5bdb518412a7.png,856
Bot 1,c57ac0f4-c54a-44fa-83fb-af9895b79c52,0.0,"(26, 37)","(36, 2)","(32, 33)",45,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/c57ac0f4-c54a-44fa-83fb-af9895b79c52.png,23233
Bot 2,e9fb59fd-af0f-40db-87e1-077e3ec46308,0.0,"(26, 37)","(36, 2)","(32, 33)",45,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/e9fb59fd-af0f-40db-87e1-077e3ec46308.png,23233
Bot 3,012161d9-dc82-4b1d-b138-a22d63692d11,0.0,"(26, 37)","(36, 2)","(32, 33)",45,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/012161d9-dc82-4b1d-b138-a22d63692d11.png,23233
Bot 4,2412694e-07cb-4cfa-9657-8843b09fa4e0,0.0,"(26, 37)","(36, 2)","(32, 33)",45,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/2412694e-07cb-4cfa-9657-8843b09fa4e0.png,23233
Bot 1,0de39705-bbae-4468-923c-4fdd0d07dbfe,0.0,"(7, 1)","(20, 32)","(2, 20)",58,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/0de39705-bbae-4468-923c-4fdd0d07dbfe.png,27346
Bot 2,1fe98d17-fffb-4db4-b194-940f16a42251,0.0,"(7, 1)","(20, 32)","(2, 20)",58,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/1fe98d17-fffb-4db4-b194-940f16a42251.png,27346
Bot 3,2696624d-263e-42b9-81a8-badfb8691078,0.0,"(7, 1)","(20, 32)","(2, 20)",58,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/2696624d-263e-42b9-81a8-badfb8691078.png,27346
